555.43
NasdaqGS
NFLX
USD
555.04
550.00
"5,782,584"
542.01 - 556.79
542.01
556.79
239.335B
46.09
12.05
"Netflix, Inc."
Entertainment
13000
N/A
N/A
0.00
0.00%
"Netflix, Inc. provides entertainment services. It offers TV series, documentaries, feature films, and games across various genres and languages. The company also provides members the ability to receive streaming content through a host of internet-connected devices, including TVs, digital video players, TV set-top boxes, and mobile devices. It has operations in approximately 190 countries. The company was incorporated in 1997 and is headquartered in Los Gatos, California."
29.80%
10.01%
18.42%
7.40
77.70%
1.07
11.62
"[['Mr. Wilmot Reed Hastings Jr.', 'Co-Founder & Executive Chairman', '1.67M', '1960', 64], ['Mr. Theodore A. Sarandos', 'Co-CEO, President & Director', '21.79M', '1965', 59], ['Mr. Gregory K. Peters', 'Co-CEO, President & Director', '16.62M', '1971', 53], ['Mr. Spencer Adam Neumann', 'Chief Financial Officer', '7.04M', '1970', 54], ['Mr. David  Hyman', 'Chief Legal Officer & Secretary', '6.01M', '1966', 58]]"
NFLX
